segment_number|len_reduction|par|stim_name|outer_fold|inner_fold|epoch|train_loss|valid_loss|train_acc|valid_acc|epoch_times|test_loss|test_acc
5|None|all|VALENCE|2|0|7|0.6111612466916646|0.6875101163983345|0.6498287671232876|0.553125|(0, 8)||
5|None|all|VALENCE|2|0|8|0.5892965491503885|0.6876200452446938|0.6672374430584581|0.5484375|(0, 6)||
5|None|all|VALENCE|2|0|9|0.5587842019453441|0.6875119894742966|0.7003424657534246|0.5515625|(0, 7)||
5|None|all|VALENCE|2|0|10|0.5511169996980119|0.687441186606884|0.708904109589041|0.553125|(0, 10)||
5|None|all|VALENCE|2|0|11|0.5147341653092267|0.6873798087239266|0.7377283107744504|0.55|(0, 16)||
5|None|all|VALENCE|2|0|12|0.510354804666075|0.6872364014387131|0.7502853882639375|0.55|(0, 21)||
5|None|all|VALENCE|2|0|13|0.5051044748254019|0.6865609154105187|0.7368721463908888|0.5484375|(0, 22)|0.6865609154105187|0.5484375
5|None|all|VALENCE|3|0|0|0.6916085677604152|0.6921470776200295|0.50313926967856|0.546875|(0, 21)||
5|None|all|VALENCE|3|0|1|0.6855290834217855|0.690014834702015|0.56563926967856|0.5546875|(0, 21)||
5|None|all|VALENCE|3|0|2|0.6750401944330294|0.6900221720337868|0.5664954340621217|0.559375|(0, 21)||
5|None|all|VALENCE|3|0|3|0.6646946235878827|0.6895229935646057|0.6015981737881491|0.5546875|(0, 21)||
5|None|all|VALENCE|3|0|4|0.647163551964172|0.6894970789551735|0.6287100457981841|0.55625|(0, 21)||
5|None|all|VALENCE|3|0|5|0.6340692165779741|0.6886248931288719|0.6389840184009239|0.55625|(0, 21)||
5|None|all|VALENCE|3|0|6|0.6277076128410967|0.6869976222515106|0.6355593608666773|0.55625|(0, 21)|0.6869976237416268|0.55625
5|None|all|VALENCE|4|0|0|0.694122607577337|0.6916731715202331|0.5245433792676011|0.546875|(0, 20)||
5|None|all|VALENCE|4|0|1|0.6877642682153885|0.6915134623646736|0.5488013698630136|0.546875|(0, 21)||
5|None|all|VALENCE|4|0|2|0.6814519387401946|0.6904848143458366|0.5576484019625677|0.546875|(0, 21)||
5|None|all|VALENCE|4|0|3|0.6666914828836101|0.6903687253594398|0.6055936074420197|0.546875|(0, 20)||
5|None|all|VALENCE|4|0|4|0.6566886036363366|0.6902682602405548|0.6093036532402039|0.546875|(0, 21)||
5|None|all|VALENCE|4|0|5|0.6387949814535168|0.6897366166114807|0.6421232876712328|0.546875|(0, 23)||
5|None|all|VALENCE|4|0|6|0.6379867367548485|0.6895521864295006|0.633847032099554|0.5484375|(0, 23)||
5|None|all|VALENCE|4|0|7|0.615345202488442|0.6888993695378304|0.6535388129214718|0.55|(0, 23)||
5|None|all|VALENCE|4|0|8|0.6075045147987261|0.689265176653862|0.6626712328767124|0.553125|(0, 13)||
5|None|all|VALENCE|4|0|9|0.592060485523041|0.6888621732592582|0.684360730729691|0.553125|(0, 4)||
5|None|all|VALENCE|4|0|10|0.5708291020295392|0.6886011138558388|0.69063926967856|0.5484375|(0, 4)||
5|None|all|VALENCE|4|0|11|0.5447845405911746|0.6882095530629158|0.7134703197707869|0.55|(0, 4)|0.6882095590233803|0.55
5|None|all|VALENCE|5|0|0|0.6895138972426114|0.6905354380607605|0.5393835616438356|0.5546875|(0, 12)||
5|None|all|VALENCE|5|0|1|0.6889796779580313|0.6902023836970329|0.5565068493150684|0.5546875|(0, 4)||
5|None|all|VALENCE|5|0|2|0.6778447309585467|0.6907973349094391|0.5716324203634915|0.559375|(0, 4)||
5|None|all|VALENCE|5|0|3|0.6715941788399056|0.6912196949124336|0.5970319636064033|0.5546875|(0, 5)||
5|None|all|VALENCE|5|0|4|0.6472344986379963|0.6918845400214195|0.6258561643835616|0.5484375|(0, 5)||
5|None|all|VALENCE|5|0|5|0.6416439499757062|0.6923898935317994|0.6278538814146225|0.5390625|(0, 4)||
5|None|all|VALENCE|5|0|6|0.6133631116723361|0.6901017785072326|0.6612442923735266|0.5640625|(0, 10)|0.6901017844676971|0.5640625
5|None|all|VALENCE|6|0|0|0.6927426645200546|0.6915409222245217|0.5365296806374641|0.553125|(0, 4)||
5|None|all|VALENCE|6|0|1|0.684824820250681|0.6919334292411804|0.5542237444283211|0.5546875|(0, 4)||
5|None|all|VALENCE|6|0|2|0.6735393731561425|0.6914364963769912|0.5819063929662313|0.565625|(0, 4)||
5|None|all|VALENCE|6|0|3|0.6557792302680342|0.6916301861405373|0.6178652970758203|0.5484375|(0, 7)||
5|None|all|VALENCE|6|0|4|0.6477349359695226|0.6918689772486687|0.6375570778977381|0.5359375|(0, 14)||
5|None|all|VALENCE|6|0|5|0.6293638299589288|0.69063481092453|0.6412671232876712|0.5640625|(0, 17)|0.690634822845459|0.5640625
5|None|all|VALENCE|7|0|0|0.6914542790961592|0.6906661197543145|0.5368150684931506|0.5546875|(0, 23)||
5|None|all|VALENCE|7|0|1|0.6845076427067796|0.6906145855784416|0.5630707765278751|0.5546875|(0, 22)||
